ID,TOTAL_COUNT,MALE,FEMALE,COLOUR,Min Latitude,Max Latitude,Min Longitude,Max Longitude
8698,1,0,0,0,40.52771994,40.52911697,-74.21471403,-74.21287117
8699,1,1,0,4,40.52771994,40.52911697,-74.21287117,-74.2110283
8700,2,2,0,4,40.52771994,40.52911697,-74.2110283,-74.20918543
8701,2,2,0,4,40.52771994,40.52911697,-74.20918543,-74.20734257
8703,3,1,2,0,40.52771994,40.52911697,-74.2054997,-74.20365684
8704,2,1,1,2,40.52771994,40.52911697,-74.20365684,-74.20181397
8705,5,2,3,0,40.52771994,40.52911697,-74.20181397,-74.19997111
8706,5,4,1,4,40.52771994,40.52911697,-74.19997111,-74.19812824
8707,4,2,2,2,40.52771994,40.52911697,-74.19812824,-74.19628538
8710,1,1,0,4,40.52771994,40.52911697,-74.19259964,-74.19075678
8711,3,0,3,0,40.52771994,40.52911697,-74.19075678,-74.18891391
8712,2,0,2,0,40.52771994,40.52911697,-74.18891391,-74.18707105
8715,3,0,3,0,40.52771994,40.52911697,-74.18338532,-74.18154245
8716,2,0,2,0,40.52771994,40.52911697,-74.18154245,-74.17969959
8723,3,1,2,0,40.52771994,40.52911697,-74.16864239,-74.16679953
8724,9,2,7,0,40.52771994,40.52911697,-74.16679953,-74.16495666
8725,21,2,14,0,40.52771994,40.52911697,-74.16495666,-74.16311379
8726,5,4,1,4,40.52771994,40.52911697,-74.16311379,-74.16127093
8727,6,2,4,0,40.52771994,40.52911697,-74.16127093,-74.15942806
8728,6,3,3,2,40.52771994,40.52911697,-74.15942806,-74.1575852
9004,1,0,1,0,40.52911697,40.53051401,-74.24235702,-74.24051415
9005,11,7,3,4,40.52911697,40.53051401,-74.24051415,-74.23867128
9009,35,1,3,0,40.52911697,40.53051401,-74.23314269,-74.23129982
9012,1,0,0,0,40.52911697,40.53051401,-74.22761409,-74.22577123
9015,8,4,4,2,40.52911697,40.53051401,-74.22208549,-74.22024263
9016,26,12,14,2,40.52911697,40.53051401,-74.22024263,-74.21839976
9017,1,0,0,0,40.52911697,40.53051401,-74.21839976,-74.2165569
